file,line at e4e67cb2,Unicode characters (template length),literal (includes technical strings)
ui/consts.go,3,33,github.com/charmbracelet/lipgloss
ui/consts.go,5,265,"
░█████╗░░██████╗░███████╗███╗░░██╗████████╗
██╔══██╗██╔════╝░██╔════╝████╗░██║╚══██╔══╝
███████║██║░░██╗░█████╗░░██╔██╗██║░░░██║░░░
██╔══██║██║░░╚██╗██╔══╝░░██║╚████║░░░██║░░░
██║░░██║╚██████╔╝███████╗██║░╚███║░░░██║░░░
╚═╝░░╚═╝░╚═════╝░╚══════╝╚═╝░░╚══╝░░░╚═╝░░░
"
ui/consts.go,12,355,"
███████╗░█████╗░░██████╗████████╗░█████╗░██████╗░██╗░░░██╗
██╔════╝██╔══██╗██╔════╝╚══██╔══╝██╔══██╗██╔══██╗╚██╗░██╔╝
█████╗░░███████║██║░░░░░░░░██║░░░██║░░██║██████╔╝░╚████╔╝░
██╔══╝░░██╔══██║██║░░░░░░░░██║░░░██║░░██║██╔══██╗░░╚██╔╝░░
██║░░░░░██║░░██║╚██████╗░░░██║░░░╚█████╔╝██║░░██║░░░██║░░░
╚═╝░░░░░╚═╝░░╚═╝░╚═════╝░░░╚═╝░░░░╚════╝░╚═╝░░╚═╝░░░╚═╝░░░
"
ui/config_pane_accounts.go,4,3,fmt
ui/config_pane_accounts.go,5,7,strings
ui/config_pane_accounts.go,7,42,github.com/charmbracelet/bubbles/textinput
ui/config_pane_accounts.go,8,34,github.com/charmbracelet/bubbletea
ui/config_pane_accounts.go,9,33,github.com/charmbracelet/lipgloss
ui/config_pane_accounts.go,11,44,github.com/sachiniyer/agent-factory/ui/theme
ui/config_pane_accounts.go,119,8,Accounts
ui/config_pane_accounts.go,126,96,"agent identities, not config keys · af runs the agent's own login and never reads the credential"
ui/config_pane_accounts.go,137,0,
ui/config_pane_accounts.go,169,0,
ui/config_pane_accounts.go,245,5,enter
ui/config_pane_accounts.go,253,0,
ui/config_pane_accounts.go,274,0,
ui/config_pane_accounts.go,278,12,account name
ui/config_pane_accounts.go,294,0,
ui/config_pane_accounts.go,295,0,
ui/config_pane_accounts.go,315,0,
ui/config_pane_accounts.go,336,2,  
