| Metric | Mean | Min–max | SD | Budget |
| --- | ---: | ---: | ---: | ---: |
| raw_bytes | 892225.000 | 892225.000–892225.000 | 0.000 | 921961.950 |
| gzip_bytes | 197788.000 | 197788.000–197788.000 | 0.000 | 206516.100 |
| first_terminal_ms | 6245.500 | 5714.200–6730.300 | 416.122 | 13949.600 |
| echo_ms | 308.700 | 286.900–344.600 | 25.579 | 776.000 |
| rail_ms | 712.200 | 688.300–743.400 | 23.079 | 1865.933 |
| load_shift | 0.000 | 0.000–0.000 | 0.000 | 0.010 |
| snapshot_shift | 0.000 | 0.000–0.000 | 0.000 | 0.010 |
| frame_ms | 60.369 | 44.905–69.887 | 11.031 | 960.011 |
| key_render_ms | 58.556 | 55.737–61.159 | 2.219 | 701.279 |
