| Metric | Mean | Min–max | SD | Budget |
| --- | ---: | ---: | ---: | ---: |
| raw_bytes | 906946.000 | 906946.000–906946.000 | 0.000 | 921961.950 |
| gzip_bytes | 201350.000 | 201350.000–201350.000 | 0.000 | 206516.100 |
| first_terminal_ms | 2784.400 | 2705.600–2927.100 | 101.087 | 5740.833 |
| echo_ms | 302.800 | 259.100–327.600 | 30.994 | 615.100 |
| rail_ms | 708.067 | 675.800–725.700 | 22.849 | 1452.767 |
| load_shift | 0.000 | 0.000–0.000 | 0.000 | 0.010 |
| snapshot_shift | 0.000 | 0.000–0.000 | 0.000 | 0.010 |
| frame_ms | 66.873 | 64.492–68.649 | 1.750 | 960.011 |
| key_render_ms | 68.232 | 62.182–80.148 | 8.426 | 701.279 |
