| Metric | Mean | Min–max | SD | Budget |
| --- | ---: | ---: | ---: | ---: |
| raw_bytes | 906946.000 | 906946.000–906946.000 | 0.000 | 921961.950 |
| gzip_bytes | 201350.000 | 201350.000–201350.000 | 0.000 | 206516.100 |
| first_terminal_ms | 2925.033 | 2803.600–3059.400 | 104.830 | 5740.833 |
| echo_ms | 311.933 | 298.700–333.900 | 15.641 | 615.100 |
| rail_ms | 737.933 | 713.900–766.000 | 21.460 | 1452.767 |
| load_shift | 0.000 | 0.000–0.000 | 0.000 | 0.010 |
| snapshot_shift | 0.000 | 0.000–0.000 | 0.000 | 0.010 |
| frame_ms | 79.734 | 72.641–88.021 | 6.335 | 960.011 |
| key_render_ms | 63.709 | 59.632–68.426 | 3.618 | 701.279 |
