"file","line at e4e67cb2","Unicode characters (template length)","literal (includes technical strings); embedded newlines escaped"
"web/src/account_login_overlay.ts","21","8","./dom.js"
"web/src/account_login_overlay.ts","22","20","./stream_endpoint.js"
"web/src/account_login_overlay.ts","23","13","./terminal.js"
"web/src/account_login_overlay.ts","24","10","./types.js"
"web/src/account_login_overlay.ts","42","9","Logged in"
"web/src/account_login_overlay.ts","44","93","${login.agent}'s login flow finished without needing the terminal, and ${login.name} holds a "
"web/src/account_login_overlay.ts","45","11","credential."
"web/src/account_login_overlay.ts","45","27"," ${login.notices.join("" "")}"
"web/src/account_login_overlay.ts","45","1"," "
"web/src/account_login_overlay.ts","45","0",""
"web/src/account_login_overlay.ts","49","13","Not logged in"
"web/src/account_login_overlay.ts","51","101","The ${login.agent} login flow ended without leaving a credential in ${login.name}, so the account is "
"web/src/account_login_overlay.ts","52","102","registered but not logged in. Try again, or run \\`af accounts login ${login.agent} ${login.name}\\` on "
"web/src/account_login_overlay.ts","53","16","the daemon host."
"web/src/account_login_overlay.ts","82","4","span"
"web/src/account_login_overlay.ts","82","19","af-assistant-status"
"web/src/account_login_overlay.ts","82","11","Connecting…"
"web/src/account_login_overlay.ts","83","4","role"
"web/src/account_login_overlay.ts","83","6","status"
"web/src/account_login_overlay.ts","84","6","button"
"web/src/account_login_overlay.ts","84","6","button"
"web/src/account_login_overlay.ts","84","27","af-ghost af-assistant-close"
"web/src/account_login_overlay.ts","84","1","×"
"web/src/account_login_overlay.ts","85","10","aria-label"
"web/src/account_login_overlay.ts","85","5","Close"
"web/src/account_login_overlay.ts","87","30","${login.agent} · ${login.name}"
"web/src/account_login_overlay.ts","89","3","div"
"web/src/account_login_overlay.ts","90","17","af-assistant-head"
"web/src/account_login_overlay.ts","91","4","span"
"web/src/account_login_overlay.ts","91","18","af-assistant-title"
"web/src/account_login_overlay.ts","98","1","p"
"web/src/account_login_overlay.ts","99","17","af-assistant-note"
"web/src/account_login_overlay.ts","100","86","Running ${login.program} on the daemon host with this account's credential directory. "
"web/src/account_login_overlay.ts","101","96","af never reads the credential. The pane prints a URL and a device code · sign in on any device, "
"web/src/account_login_overlay.ts","102","30","then paste the code back here."
"web/src/account_login_overlay.ts","104","3","div"
"web/src/account_login_overlay.ts","104","17","af-assistant-term"
"web/src/account_login_overlay.ts","105","3","div"
"web/src/account_login_overlay.ts","105","17","af-assistant-body"
"web/src/account_login_overlay.ts","106","3","div"
"web/src/account_login_overlay.ts","106","18","af-assistant-panel"
"web/src/account_login_overlay.ts","107","4","role"
"web/src/account_login_overlay.ts","107","6","dialog"
"web/src/account_login_overlay.ts","108","10","aria-modal"
"web/src/account_login_overlay.ts","108","4","true"
"web/src/account_login_overlay.ts","109","10","aria-label"
"web/src/account_login_overlay.ts","109","18","Log in to ${title}"
"web/src/account_login_overlay.ts","110","3","div"
"web/src/account_login_overlay.ts","110","20","af-assistant-overlay"
"web/src/account_login_overlay.ts","120","7","keydown"
"web/src/account_login_overlay.ts","125","6","Escape"
"web/src/account_login_overlay.ts","131","5","click"
"web/src/account_login_overlay.ts","132","9","mousedown"
"web/src/account_login_overlay.ts","137","7","keydown"
"web/src/account_login_overlay.ts","165","10","connecting"
"web/src/account_login_overlay.ts","166","11","Connecting…"
"web/src/account_login_overlay.ts","167","4","open"
"web/src/account_login_overlay.ts","168","24","Joined the running login"
"web/src/account_login_overlay.ts","168","4","Live"
"web/src/account_login_overlay.ts","169","6","exited"
"web/src/account_login_overlay.ts","170","60","The login flow ended — close this to see the account's state"
"web/src/account_login_overlay.ts","172","13","Reconnecting…"
"web/src/account_scope.ts","33","13","./programs.js"
"web/src/account_scope.ts","34","10","./types.js"
"web/src/account_scope.ts","42","0",""
"web/src/account_scope.ts","89","0",""
"web/src/account_scope.ts","92","0",""
"web/src/account_scope.ts","105","0",""
"web/src/account_scope.ts","129","40","Ambient identity (the agent's own login)"
"web/src/account_scope.ts","131","0",""
"web/src/account_scope.ts","132","0",""
"web/src/account_scope.ts","136","0",""
"web/src/account_scope.ts","149","15","project default"
"web/src/account_scope.ts","152","17","registration only"
"web/src/account_scope.ts","155","13","not logged in"
"web/src/account_scope.ts","159","36","${entry.name} — ${marks.join("" · "")}"
"web/src/account_scope.ts","159","3"," · "
"web/src/account_scope.ts","169","98","A session cannot be scoped to a ${entry.agent} account yet — af has not verified that the account "
"web/src/account_scope.ts","170","95","boundary can prove how it launches ${entry.agent}, so it refuses rather than risk starting the "
"web/src/account_scope.ts","171","71","session on the ambient identity. Registering and logging in work today."
"web/src/account_scope.ts","172","0",""
"web/src/account_scope.ts","174","0",""
"web/src/account_scope.ts","175","97","${entry.name} has no ${entry.agent} credential yet — the session will run as it until you log in "
"web/src/account_scope.ts","176","21","from the Config view."
"web/src/account_scope.ts","185","0",""
"web/src/account_scope.ts","188","46","${fallback} — project default · not registered"
"web/src/account_scope.ts","195","0",""
"web/src/account_scope.ts","196","95","${fallback} is this project's default account but is not registered for ${agent} on the daemon "
"web/src/account_scope.ts","197","96","host, so this create will be refused. Register it from the Config view, or pick another account."
"web/src/account_scope.ts","212","0",""
"web/src/account_scope.ts","213","0",""
"web/src/account_scope.ts","215","0",""
"web/src/account_scope.ts","226","0",""
"web/src/account_scope.ts","228","0",""
